risk_type,country,keyword,query,title,url,domain,language,source_country,published_at,collected_at
operation,Germany,strike,"""Germany"" strike",劉亞明將攜三幅作品亮相德國NordArt 2026國際當代藝術大展,https://portal.sina.com.hk/news-china/sina/2026/05/13/1763914/%E5%8A%89%E4%BA%9E%E6%98%8E%E5%B0%87%E6%94%9C%E4%B8%89%E5%B9%85%E4%BD%9C%E5%93%81%E4%BA%AE%E7%9B%B8%E5%BE%B7%E5%9C%8Bnordart-2026%E5%9C%8B%E9%9A%9B%E7%95%B6%E4%BB%A3%E8%97%9D%E8%A1%93%E5%A4%A7/,portal.sina.com.hk,Chinese,,20260513T090000Z,2026-05-15T02:02:15.005606
operation,Germany,strike,"""Germany"" strike",沈伯洋获提名参选台北市长 赖清德 ： 不二人选 | 九合一选举 | 立委 | 民进党,https://www.epochtimes.com/gb/26/5/13/n14763553.htm,epochtimes.com,Chinese,,20260513T134500Z,2026-05-15T02:02:15.005608
operation,Germany,strike,"""Germany"" strike",沙特阿拉伯報復遇襲 首度曝光多次軍事打擊伊朗,https://www.ntdtv.com/b5/2026/05/14/a104096408.html,ntdtv.com,Chinese,,20260514T083000Z,2026-05-15T02:02:15.005610
operation,Germany,strike,"""Germany"" strike",報復伊朗 ！ 《 路透 》 爆沙烏地阿拉伯曾發動 「 秘密攻勢 」 - 國際,https://news.ltn.com.tw/news/world/breakingnews/5434982,news.ltn.com.tw,Chinese,,20260513T003000Z,2026-05-15T02:02:15.005614
operation,Germany,strike,"""Germany"" strike","Após o fim da trégua de três dias , Kiev e Moscovo realizam ataques com drones",https://sapo.pt/artigo/apos-o-fim-da-tregua-de-tres-dias-kiev-e-moscovo-realizam-ataques-com-drones-6a02dd15f00315c827a8d068,sapo.pt,Portuguese,,20260512T081500Z,2026-05-15T02:02:15.005616
operation,Germany,strike,"""Germany"" strike","Антибаллистическая коалиция - Зеленский рассказал , кто войдет туда и чего ожидать от инициативы",https://24tv.ua/ru/antiballisticheskaja-koalicija-zelenskij-rasskazal-kto-vojdet_n3068216,24tv.ua,Russian,,20260514T193000Z,2026-05-15T02:02:15.005618
operation,Germany,strike,"""Germany"" strike",Almanyada çalanlar iþ býrakmaya hazýrlanýyor,https://www.star.com.tr/ekonomi/almanyada-calisanlar-is-birakmaya-hazirlaniyor-haber-2016054/,star.com.tr,Turkish,,20260514T071500Z,2026-05-15T02:02:15.005620
operation,Germany,strike,"""Germany"" strike",90 Χρόνια πριν … 12 - 5 - 1936,https://www.kathimerini.gr/istoria/564221179/90-chronia-prin-12-5-1936/,kathimerini.gr,Greek,,20260512T073000Z,2026-05-15T02:02:15.005621
operation,Germany,strike,"""Germany"" strike","Dans limpasse avec lIran , Trump met le cap sur la Chine",https://www.zonebourse.com/actualite-bourse/dans-l-impasse-avec-l-iran-trump-met-le-cap-sur-la-chine-ce7f5bdfdd8ff724,zonebourse.com,French,,20260513T051500Z,2026-05-15T02:02:15.005623
operation,Germany,strike,"""Germany"" strike",在特朗普面前 ， 默茨需  少说多做  - FT中文网,http://www.ftchinese.com/story/001109675,ftchinese.com,Chinese,,20260513T000000Z,2026-05-15T02:02:15.005625
operation,Germany,strike,"""Germany"" strike",在特朗普面前 ， 默茨需  少说多做  - FT中文网,https://www.ftchinese.com/story/001109675,ftchinese.com,Chinese,,20260513T000000Z,2026-05-15T02:02:15.005627
